st,state,ev,status
AL,Alabama,9,Solid Republican
AK,Alaska,3,Solid Republican
AZ,Arizona,11,Leaning Republican
AR,Arkansas,6,Solid Republican
CA,California,55,Solid Democratic
CO,Colorado,9,Battleground
CT,Connecticut,7,Solid Democratic
DE,Delaware,3,Solid Democratic
DC,District of Columbia,3,Solid Democratic
FL,Florida,29,Battleground
GA,Georgia,16,Leaning Republican
HI,Hawaii,4,Solid Democratic
ID,Idaho,4,Solid Republican
IL,Illinois,20,Solid Democratic
IN,Indiana,11,Leaning Republican
IA,Iowa,6,Battleground
KS,Kansas,6,Solid Republican
KY,Kentucky,8,Solid Republican
LA,Louisiana,8,Solid Republican
ME,Maine,4,Solid Democratic
MD,Maryland,10,Solid Democratic
MA,Massachusetts,11,Solid Democratic
MI,Michigan,16,Leaning Democratic
MN,Minnesota,10,Solid Democratic
MS,Mississippi,6,Solid Republican
MO,Missouri,10,Leaning Republican
MT,Montana,3,Solid Republican
NE,Nebraska,5,Solid Republican
NV,Nevada,6,Battleground
NH,New Hampshire,4,Battleground
NJ,New Jersey,14,Solid Democratic
NM,New Mexico,5,Leaning Democratic
NY,New York,29,Solid Democratic
NC,North Carolina,15,Battleground
ND,North Dakota,3,Solid Republican
OH,Ohio,18,Battleground
OK,Oklahoma,7,Solid Republican
OR,Oregon,7,Solid Democratic
PA,Pennsylvania,20,Leaning Democratic
RI,Rhode Island,4,Solid Democratic
SC,South Carolina,9,Solid Republican
SD,South Dakota,3,Solid Republican
TN,Tennessee,11,Solid Republican
TX,Texas,38,Solid Republican
UT,Utah,6,Solid Republican
VT,Vermont,3,Solid Democratic
VA,Virginia,13,Battleground
WA,Washington,12,Solid Democratic
WV,West Virginia,5,Solid Republican
WI,Wisconsin,10,Leaning Democratic
WY,Wyoming,3,Solid Republican
