state,abbr,rate
Alabama,AL,7.4
Alaska,AK,7
Arizona,AZ,8.2
Arkansas,AR,7.3
California,CA,10.8
Colorado,CO,8.1
Connecticut,CT,7.8
Delaware,DE,6.8
District of Columbia,DC,9.3
Florida,FL,8.6
Georgia,GA,8.9
Hawaii,HI,6.3
Idaho,ID,7.8
Illinois,IL,8.6
Indiana,IN,7.9
Iowa,IA,5.1
Kansas,KS,6.1
Kentucky,KY,8.2
Louisiana,LA,7.2
Maine,ME,7.4
Maryland,MD,6.8
Massachusetts,MA,6
Michigan,MI,8.5
Minnesota,MN,5.6
Mississippi,MS,8.7
Missouri,MO,7.3
Montana,MT,6.3
Nebraska,NE,3.9
Nevada,NV,11.6
New Hampshire,NH,5
New Jersey,NJ,9.2
New Mexico,NM,6.7
New York,NY,8.6
North Carolina,NC,9.4
North Dakota,ND,3
Ohio,OH,7.3
Oklahoma,OK,4.8
Oregon,OR,8.4
Pennsylvania,PA,7.4
Rhode Island,RI,11
South Carolina,SC,9.1
South Dakota,SD,4.3
Tennessee,TN,7.9
Texas,TX,6.9
Utah,UT,6
Vermont,VT,4.6
Virginia,VA,5.6
Washington,WA,8.3
West Virginia,WV,6.9
Wisconsin,WI,6.8
Wyoming,WY,5.2
