date,Iran,Syria
3/1/12,37.95,57.75
3/2/12,38.3,56.8
3/3/12,41,50
3/4/12,39.1,55
3/5/12,38.2,52.5
3/6/12,41.5,56.25
3/7/12,44.25,48
3/8/12,41.25,62.5
3/9/12,37.8,58
3/10/12,37.8,55.5
3/11/12,39.75,55.5
3/12/12,37.5,52.25
3/13/12,37,52.25
3/14/12,37,48.05
3/15/12,38.7,48
3/16/12,39.8,48
3/17/12,38.1,48
3/18/12,39.65,47.95
3/19/12,39.25,48
3/20/12,40.05,48
3/21/12,39.25,50.3
3/22/12,38.75,51.75
3/23/12,39,45.55
3/24/12,38.5,46
3/25/12,37.75,46.25
3/26/12,37.45,49.4
3/27/12,36.8,42.35
3/28/12,37.15,42.35
3/29/12,35,42.65
3/30/12,33.55,30.1
3/31/12,33.55,29.8
4/1/12,31.15,31.55
4/2/12,31.2,39
4/3/12,32.05,38
4/4/12,31.05,38.5
4/5/12,29.8,29.75
4/6/12,29.75,31.25
4/7/12,29.75,31.25
4/8/12,29.75,32.2
4/9/12,32.75,31.45
4/10/12,30.65,33
4/11/12,30.25,36
4/12/12,30.3,34.5
4/13/12,31,33
4/14/12,28.25,33.05
4/15/12,31.1,34.5
4/16/12,28.6,37.45
4/17/12,28.6,37.95
4/18/12,29.1,37.95
4/19/12,29,35.45
4/20/12,31.55,35.45
4/21/12,31.5,37.05
4/22/12,31.5,32.25
4/23/12,31.25,33.5
4/24/12,31.25,32
4/25/12,29.8,32.75
4/26/12,34.2,32.75
4/27/12,29.85,29
4/28/12,29.85,32.45
4/29/12,29.45,32.45
4/30/12,28.75,32.25
5/1/12,28.25,34.7
5/2/12,30.2,32.45
5/3/12,30.2,32.45
5/4/12,26.2,31.25
5/5/12,26.05,31.05
5/6/12,26.45,31
5/7/12,26.1,30.75
5/8/12,26.25,31.15
5/9/12,25.7,31.95
5/10/12,29.3,32.05
5/11/12,28.55,34.5
5/12/12,28.75,34.25
5/13/12,28.75,34.25
5/14/12,29.75,34
5/15/12,28.85,30.25
5/16/12,28.75,33.95
5/17/12,27.65,33.9
5/18/12,27.85,33.9
5/19/12,28,33.9
5/20/12,28,32.95
5/21/12,28.05,32.95
5/22/12,26.6,32.95
5/23/12,26.7,32.7
5/24/12,28.45,32.7
5/25/12,27.15,32.1
5/26/12,28.65,31.75
5/27/12,31,38.9
5/28/12,27.85,37.6
5/29/12,28.25,40.4
5/30/12,33.05,40.4
5/31/12,33,43.45
