fips	name	state	coordinates
02185	North Slope	AK	M 62.7,259.3 L 63.6,258.4 L 64.2,258.0 L 64.4,258.4 L 64.0,258.7 L 64.4,258.7 L 66.6,258.0 L 68.6,255.6 L 70.4,256.4 L 70.4,256.9 L 69.7,257.5 L 69.7,258.2 L 70.4,258.0 L 70.8,256.9 L 71.3,256.4 L 71.9,257.1 L 72.2,258.0 L 72.8,258.2 L 73.0,257.8 L 74.1,257.5 L 75.9,257.5 L 76.1,257.8 L 75.7,258.4 L 75.7,258.7 L 77.0,258.9 L 76.8,259.5 L 77.7,259.5 L 78.8,258.9 L 81.2,258.7 L 82.7,259.1 L 83.4,259.1 L 84.0,259.3 L 84.3,259.5 L 85.1,259.5 L 86.2,259.3 L 87.6,259.3 L 89.1,259.8 L 89.6,259.5 L 90.4,258.9 L 90.7,258.7 L 91.1,258.2 L 92.6,258.4 L 96.2,259.5 L 97.3,263.1 L 97.9,265.3 L 88.9,267.5 L 89.3,269.9 L 87.6,270.3 L 82.9,271.2 L 82.7,271.2 L 72.4,272.3 L 69.9,272.3 L 69.9,271.9 L 68.2,271.9 L 68.2,271.4 L 66.4,271.4 L 64.7,271.6 L 63.3,271.6 L 63.3,271.2 L 62.7,271.2 L 62.7,271.4 L 60.7,271.4 L 60.3,271.2 L 60.0,271.2 L 60.0,271.4 L 59.2,271.4 L 58.9,271.0 L 57.8,271.0 L 57.8,271.4 L 57.4,271.4 L 54.3,271.2 L 54.3,272.1 L 52.8,272.1 L 51.4,271.4 L 50.8,270.5 L 51.2,269.2 L 51.4,267.7 L 53.0,267.9 L 55.0,267.7 L 55.6,267.5 L 56.9,265.9 L 57.6,263.9 L 58.9,262.0 L 59.8,261.1 L 60.5,261.3 L 61.4,260.9 L 62.7,259.3 
02188	Northwest Arctic	AK	M 74.4,278.7 L 73.9,278.7 L 73.0,279.1 L 73.3,279.6 L 71.9,279.6 L 71.9,280.9 L 71.0,281.1 L 71.0,280.7 L 70.6,280.2 L 69.7,280.2 L 69.7,281.1 L 68.8,281.1 L 68.8,280.2 L 67.1,280.2 L 67.1,282.2 L 64.9,282.2 L 64.9,283.1 L 63.6,283.1 L 63.6,285.3 L 63.1,285.3 L 63.1,285.8 L 62.7,285.8 L 55.0,285.5 L 55.0,284.6 L 54.7,284.6 L 54.5,284.4 L 54.5,283.8 L 54.1,283.5 L 54.1,281.8 L 53.9,279.6 L 54.7,279.6 L 55.2,279.8 L 54.7,281.3 L 55.0,282.2 L 58.9,282.7 L 60.0,281.6 L 60.7,281.6 L 60.5,281.1 L 59.8,280.7 L 59.2,280.2 L 58.3,279.1 L 57.8,278.9 L 57.6,278.3 L 57.8,278.0 L 58.3,278.0 L 58.9,279.6 L 59.8,280.5 L 60.3,280.2 L 59.8,280.0 L 59.2,279.1 L 59.6,277.8 L 59.8,278.0 L 59.8,277.8 L 59.2,277.4 L 58.1,277.6 L 57.2,277.6 L 55.6,276.9 L 55.0,274.5 L 52.8,272.1 L 54.3,272.1 L 54.3,271.2 L 57.4,271.4 L 57.8,271.4 L 57.8,271.0 L 58.9,271.0 L 59.2,271.4 L 60.0,271.4 L 60.0,271.2 L 60.3,271.2 L 60.7,271.4 L 62.7,271.4 L 62.7,271.2 L 63.3,271.2 L 63.3,271.6 L 64.7,271.6 L 66.4,271.4 L 68.2,271.4 L 68.2,271.9 L 69.9,271.9 L 69.9,272.3 L 71.7,272.3 L 71.7,273.4 L 72.2,273.4 L 72.2,273.9 L 73.0,274.7 L 73.0,276.1 L 73.9,276.1 L 74.4,276.5 L 74.6,277.8 L 74.4,278.7 
02130	Ketchikan Gateway	AK	M 140.7,317.9 L 141.5,316.8 L 143.3,318.4 L 143.8,319.7 L 143.5,320.3 L 142.6,320.6 L 141.1,320.1 L 141.1,319.7 L 141.3,319.2 L 140.7,317.9 M 141.3,320.1 L 142.0,320.6 L 142.2,321.4 L 141.5,320.8 L 141.3,320.1 
02201	Prince of Wales-Outer Ketchikan	AK	M 139.6,319.2 L 140.2,319.5 L 140.2,318.6 L 140.0,318.4 L 140.0,317.5 L 140.2,317.0 L 140.9,316.6 L 141.5,315.7 L 141.8,315.3 L 141.1,314.8 L 142.0,314.6 L 143.3,315.3 L 144.0,315.3 L 144.2,314.8 L 144.9,315.3 L 144.9,316.6 L 146.4,318.6 L 146.4,320.3 L 146.0,321.9 L 145.3,322.1 L 144.9,321.9 L 143.8,320.3 L 144.0,319.5 L 143.1,317.9 L 141.5,316.8 L 140.7,317.9 L 140.2,318.1 L 140.7,318.4 L 140.7,319.9 L 140.0,319.9 L 139.3,319.2 L 139.6,319.2 M 134.7,317.9 L 135.8,317.5 L 138.9,319.2 L 140.2,320.8 L 141.1,321.2 L 142.2,323.2 L 142.2,323.9 L 141.5,324.1 L 140.2,323.0 L 138.2,322.3 L 139.3,323.9 L 139.8,323.4 L 140.2,323.6 L 140.7,324.7 L 140.0,324.7 L 137.4,323.0 L 137.1,322.5 L 138.0,321.7 L 137.4,321.0 L 136.7,321.0 L 135.6,320.6 L 135.8,320.3 L 136.3,320.3 L 136.5,320.1 L 135.8,319.2 L 135.6,319.9 L 135.2,320.1 L 134.9,319.9 L 135.2,319.2 L 134.7,318.1 L 134.7,317.9 M 134.9,320.1 L 134.9,320.6 L 134.7,320.3 L 134.9,320.1 M 142.4,321.4 L 142.2,320.6 L 143.1,320.8 L 143.3,321.4 L 142.6,321.9 L 142.4,321.4 M 136.0,321.7 L 136.9,321.2 L 137.4,321.4 L 136.9,322.5 L 136.0,322.3 L 136.0,321.7 M 143.8,321.4 L 144.0,321.7 L 144.0,322.1 L 143.3,322.1 L 143.8,321.4 
02280	Wrangell-Petersburg	AK	M 140.0,318.4 L 140.2,318.6 L 140.2,319.5 L 139.6,319.2 L 139.8,318.6 L 139.3,316.8 L 139.1,317.7 L 139.3,318.1 L 139.1,318.6 L 138.0,318.4 L 137.4,317.9 L 137.4,317.5 L 137.8,316.6 L 137.4,315.0 L 136.0,314.6 L 135.4,314.2 L 135.2,313.7 L 134.1,313.9 L 133.4,313.9 L 133.6,313.5 L 134.3,313.5 L 134.5,312.6 L 134.9,312.0 L 135.8,311.7 L 136.5,312.4 L 136.5,313.1 L 137.4,312.8 L 137.6,313.7 L 138.2,313.9 L 138.9,314.6 L 139.3,314.4 L 141.1,314.8 L 141.8,315.3 L 141.5,315.7 L 140.9,316.6 L 140.2,317.0 L 140.0,317.5 L 140.0,318.4 M 133.0,315.5 L 132.3,315.0 L 132.5,314.6 L 134.1,314.6 L 134.7,314.2 L 137.1,315.5 L 136.5,316.4 L 135.8,316.4 L 135.8,315.9 L 134.7,315.3 L 134.7,315.7 L 135.6,316.2 L 135.8,316.6 L 135.6,317.0 L 134.9,317.0 L 134.9,317.3 L 134.5,317.5 L 133.8,316.2 L 133.6,315.9 L 133.2,315.7 L 133.0,315.5 M 133.2,317.7 L 132.1,317.0 L 131.6,316.4 L 131.9,315.7 L 132.3,315.5 L 133.0,315.9 L 133.6,315.9 L 134.1,316.8 L 133.6,317.0 L 133.6,317.5 L 133.8,318.1 L 134.3,318.1 L 134.3,319.5 L 133.8,319.0 L 134.1,320.1 L 133.6,319.9 L 133.2,318.8 L 133.2,318.1 L 133.6,318.1 L 133.2,317.7 M 136.3,316.8 L 136.9,316.4 L 137.4,317.3 L 136.9,317.5 L 136.3,317.5 L 136.3,316.8 M 132.3,319.7 L 132.1,319.2 L 132.3,319.2 L 132.3,319.9 L 132.3,319.7 M 133.8,320.6 L 134.3,320.6 L 134.1,321.0 L 133.6,320.8 L 133.8,320.6 
02220	Sitka	AK	M 126.8,312.6 L 127.9,313.1 L 128.8,312.6 L 129.4,313.7 L 129.4,313.9 L 128.8,314.2 L 127.2,313.5 L 127.0,313.7 L 127.7,314.6 L 127.4,315.3 L 127.0,315.3 L 125.0,313.5 L 125.9,313.3 L 125.9,312.4 L 126.8,312.6 M 132.3,319.7 L 132.3,319.9 L 131.9,319.7 L 130.8,318.6 L 130.8,317.9 L 130.3,318.4 L 130.1,317.9 L 129.4,317.7 L 129.0,316.4 L 128.5,315.9 L 128.5,315.5 L 128.1,315.7 L 127.4,315.3 L 127.9,313.9 L 128.8,314.4 L 129.6,314.2 L 129.9,314.6 L 129.4,314.8 L 129.9,314.8 L 131.4,317.3 L 132.3,319.2 L 132.1,319.2 L 132.3,319.7 M 127.2,315.5 L 127.4,315.3 L 128.3,316.2 L 128.3,316.8 L 127.9,317.0 L 127.2,315.5 
02100	Haines	AK	M 126.1,306.9 L 125.9,307.1 L 125.2,306.0 L 124.6,305.6 L 124.6,305.8 L 125.7,307.6 L 126.6,308.9 L 127.7,310.6 L 126.8,310.6 L 126.1,310.0 L 125.9,309.8 L 126.3,309.3 L 125.9,308.9 L 124.8,308.7 L 125.0,307.6 L 124.1,306.9 L 122.2,306.9 L 122.2,305.1 L 123.0,304.0 L 124.8,305.4 L 125.5,305.1 L 125.7,305.4 L 126.6,305.4 L 127.0,305.8 L 127.2,305.6 L 127.7,306.2 L 127.9,306.2 L 126.1,306.9 
02110	Juneau	AK	M 131.9,310.6 L 131.9,311.1 L 131.4,311.1 L 129.9,309.8 L 128.8,310.2 L 127.0,309.1 L 125.9,307.1 L 126.1,306.9 L 127.9,306.2 L 128.3,306.7 L 129.0,306.9 L 131.2,307.8 L 131.2,308.2 L 132.3,308.9 L 131.9,310.4 L 131.9,310.6 M 129.0,310.9 L 128.5,310.9 L 128.3,310.2 L 128.5,310.4 L 128.8,310.2 L 129.9,310.0 L 129.2,310.4 L 129.0,310.6 L 129.0,310.9 
02282	Yakutat	AK	M 109.6,305.4 L 110.7,305.4 L 110.9,304.9 L 112.2,305.1 L 112.7,304.3 L 114.0,303.8 L 114.2,305.1 L 114.7,305.4 L 115.8,305.6 L 116.2,306.2 L 119.5,308.0 L 120.2,309.5 L 119.3,310.4 L 119.3,310.0 L 118.6,309.5 L 113.8,308.4 L 113.6,308.2 L 113.6,307.8 L 114.0,307.8 L 114.0,307.3 L 113.3,306.2 L 113.1,306.9 L 112.2,307.8 L 110.3,308.0 L 108.9,307.3 L 106.1,307.6 L 103.0,308.7 L 104.1,305.8 L 107.0,304.9 L 107.4,304.9 L 107.4,305.4 L 108.9,304.9 L 109.4,304.9 L 109.6,305.4 
02016	Aleutians West	AK	M 34.9,325.4 L 34.5,325.8 L 34.3,325.6 L 34.3,325.4 L 34.9,325.4 M 36.0,328.9 L 36.2,328.9 L 36.0,329.1 L 35.6,328.7 L 36.0,328.9 M 43.5,343.0 L 44.4,343.9 L 44.2,344.4 L 42.4,345.7 L 41.7,345.9 L 41.1,345.9 L 39.3,346.6 L 38.7,346.1 L 41.1,345.2 L 41.3,343.5 L 41.5,343.2 L 42.8,343.0 L 42.8,343.5 L 43.1,343.7 L 43.3,343.5 L 43.5,343.0 M 35.8,346.6 L 37.1,345.7 L 37.3,345.2 L 37.8,345.0 L 38.4,344.8 L 39.1,345.0 L 38.7,345.9 L 37.8,346.1 L 36.7,347.2 L 35.4,347.9 L 34.7,348.1 L 35.8,347.0 L 35.8,346.6 M 4.1,346.6 L 4.3,346.8 L 4.1,347.0 L 3.9,346.8 L 4.1,346.6 M 6.3,346.8 L 6.7,346.8 L 7.2,347.7 L 6.5,348.1 L 6.1,347.9 L 5.8,346.8 L 6.3,346.8 M 32.9,346.8 L 32.9,347.2 L 32.7,347.0 L 32.9,346.8 M 31.8,347.2 L 32.1,347.2 L 31.8,347.4 L 31.6,347.2 L 31.8,347.2 M 18.2,347.9 L 18.0,347.7 L 18.8,347.2 L 19.3,347.9 L 18.6,348.8 L 17.3,348.8 L 14.9,348.3 L 17.1,348.5 L 18.2,348.1 L 18.4,347.9 L 18.2,347.9 M 12.4,347.4 L 12.9,347.4 L 12.9,347.9 L 12.7,348.1 L 12.2,347.9 L 12.2,347.4 L 12.4,347.4 M 9.1,347.4 L 9.6,347.7 L 8.9,348.5 L 8.5,348.5 L 7.8,348.1 L 8.9,347.9 L 9.1,347.4 M 32.7,347.4 L 32.9,347.7 L 32.7,347.9 L 31.8,347.7 L 32.1,347.4 L 32.7,347.4 M 11.1,348.3 L 11.8,348.5 L 11.6,349.0 L 9.4,349.2 L 10.5,347.7 L 11.1,347.7 L 11.1,347.9 L 10.9,347.9 L 10.7,348.3 L 11.1,348.3 M 31.4,347.9 L 31.6,347.9 L 31.6,348.1 L 31.4,348.1 L 31.4,347.9 z M 29.9,347.9 L 30.1,348.1 L 29.9,348.5 L 29.2,348.5 L 29.2,348.1 L 29.9,347.9 M 13.5,348.3 L 13.8,348.5 L 13.5,348.5 L 13.5,348.3 M 12.0,348.5 L 12.7,348.5 L 12.9,348.8 L 12.2,349.0 L 11.8,348.8 L 12.0,348.5 M 3.0,348.5 L 3.0,348.8 L 2.8,349.0 L 3.0,348.5 M 27.9,348.5 L 28.1,348.8 L 27.9,349.0 L 27.6,348.8 L 27.9,348.5 M 24.1,348.5 L 24.3,348.8 L 24.3,349.0 L 23.5,349.0 L 23.7,348.8 L 24.1,348.5 M 20.2,349.0 L 20.6,349.2 L 22.1,349.6 L 20.4,349.6 L 19.5,349.4 L 18.8,348.8 L 19.5,349.0 L 20.2,349.0 M 2.5,348.8 L 2.5,349.2 L 2.3,349.2 L 2.5,348.8 
